3378
PSS	mediumLow	NY.GDP.MKTP.CD	1.00000
CAF	mediumLow	NY.GDP.MKTP.CD	1.00000
PRI	mediumLow	NY.GDP.MKTP.CD	1.00000
LKA	mediumLow	NY.GDP.MKTP.CD	1.00000
UGA	mediumLow	NY.GDP.MKTP.CD	1.00000
COG	mediumLow	NY.GDP.MKTP.CD	1.00000
MNE	mediumLow	NY.GDP.MKTP.CD	1.00000
JOR	mediumLow	NY.GDP.MKTP.CD	1.00000
LBR	mediumLow	NY.GDP.MKTP.CD	1.00000
BRN	mediumLow	NY.GDP.MKTP.CD	1.00000
ZWE	mediumLow	NY.GDP.MKTP.CD	1.00000
MLT	mediumLow	NY.GDP.MKTP.CD	1.00000
NER	mediumLow	NY.GDP.MKTP.CD	1.00000
SUR	mediumLow	NY.GDP.MKTP.CD	1.00000
GNQ	mediumLow	NY.GDP.MKTP.CD	1.00000
ALB	mediumLow	NY.GDP.MKTP.CD	1.00000
BIH	mediumLow	NY.GDP.MKTP.CD	1.00000
CSS	mediumLow	NY.GDP.MKTP.CD	1.00000
MUS	mediumLow	NY.GDP.MKTP.CD	1.00000
MYS	mediumLow	NY.GDP.MKTP.CD	1.00000
IRL	mediumLow	NY.GDP.MKTP.CD	1.00000
BWA	mediumLow	NY.GDP.MKTP.CD	1.00000
GIN	mediumLow	NY.GDP.MKTP.CD	1.00000
DZA	mediumLow	NY.GDP.MKTP.CD	1.00000
MAR	mediumLow	NY.GDP.MKTP.CD	1.00000
TTO	mediumLow	NY.GDP.MKTP.CD	1.00000
DJI	mediumLow	NY.GDP.MKTP.CD	1.00000
NCL	mediumLow	NY.GDP.MKTP.CD	1.00000
CYP	mediumLow	NY.GDP.MKTP.CD	1.00000
KWT	mediumLow	NY.GDP.MKTP.CD	1.00000
BOL	mediumLow	NY.GDP.MKTP.CD	1.00000
TKM	mediumLow	NY.GDP.MKTP.CD	1.00000
GUY	mediumLow	NY.GDP.MKTP.CD	1.00000
QAT	mediumLow	NY.GDP.MKTP.CD	1.00000
KOR	mediumLow	NY.GDP.MKTP.CD	1.00000
MKD	mediumLow	NY.GDP.MKTP.CD	1.00000
CUW	mediumLow	NY.GDP.MKTP.CD	1.00000
ISR	mediumLow	NY.GDP.MKTP.CD	1.00000
GEO	mediumLow	NY.GDP.MKTP.CD	1.00000
KHM	mediumLow	NY.GDP.MKTP.CD	1.00000
PER	mediumLow	NY.GDP.MKTP.CD	1.00000
MOZ	mediumLow	NY.GDP.MKTP.CD	1.00000
LBN	mediumLow	NY.GDP.MKTP.CD	1.00000
THA	mediumLow	NY.GDP.MKTP.CD	1.00000
PSE	mediumLow	NY.GDP.MKTP.CD	1.00000
