"country","sameAsCountry","life_expectancy"
"http://worldbank.org/Country/NAM","http://www.wikidata.org/entity/Q1030","64.388"
"http://worldbank.org/Country/MUS","http://www.wikidata.org/entity/Q1027","74.39488"
"http://worldbank.org/Country/MYS","http://www.wikidata.org/entity/Q833","75.3"
"http://worldbank.org/Country/SMR","http://www.wikidata.org/entity/Q238","85.41707"
"http://worldbank.org/Country/SGP","http://www.wikidata.org/entity/Q334","82.79512"
"http://worldbank.org/Country/SEN","http://www.wikidata.org/entity/Q1041","67.146"
"http://worldbank.org/Country/SLB","http://www.wikidata.org/entity/Q685","70.726"
"http://worldbank.org/Country/SLV","http://www.wikidata.org/entity/Q792","73.512"
"http://worldbank.org/Country/SLE","http://www.wikidata.org/entity/Q1044","51.835"
"http://worldbank.org/Country/SOM","http://www.wikidata.org/entity/Q1045","56.293"
"http://worldbank.org/Country/PRY","http://www.wikidata.org/entity/Q733","73.12"
"http://worldbank.org/Country/PYF","http://www.wikidata.org/entity/Q30971","76.813"
"http://worldbank.org/Country/RUS","http://www.wikidata.org/entity/Q159","71.59293"
"http://worldbank.org/Country/RWA","http://www.wikidata.org/entity/Q1037","67.129"
"http://worldbank.org/Country/SAU","http://www.wikidata.org/entity/Q851","74.561"
"http://worldbank.org/Country/ROU","http://www.wikidata.org/entity/Q218","75.0122"
"http://worldbank.org/Country/SDN","http://www.wikidata.org/entity/Q958","56.811"
"http://worldbank.org/Country/SSD","http://www.wikidata.org/entity/Q958","56.811"
"http://worldbank.org/Country/QAT","http://www.wikidata.org/entity/Q846","78.184"
"http://worldbank.org/Country/TKM","http://www.wikidata.org/entity/Q874","67.835"
"http://worldbank.org/Country/TLS","http://www.wikidata.org/entity/Q574","68.881"
"http://worldbank.org/Country/TTO","http://www.wikidata.org/entity/Q754","70.673"
"http://worldbank.org/Country/TJK","http://www.wikidata.org/entity/Q863","71.051"
"http://worldbank.org/Country/TUN","http://www.wikidata.org/entity/Q948","75.731"
"http://worldbank.org/Country/THA","http://www.wikidata.org/entity/Q869","77.41"
"http://worldbank.org/Country/SVK","http://www.wikidata.org/entity/Q214","76.56341"
"http://worldbank.org/Country/SVN","http://www.wikidata.org/entity/Q215","80.77561"
"http://worldbank.org/Country/SRB","http://www.wikidata.org/entity/Q403","75.23902"
"http://worldbank.org/Country/STP","http://www.wikidata.org/entity/Q1039","66.624"
"http://worldbank.org/Country/SUR","http://www.wikidata.org/entity/Q730","71.405"
"http://worldbank.org/Country/ETH","http://www.wikidata.org/entity/Q115","65.475"
"http://worldbank.org/Country/FSM","http://www.wikidata.org/entity/Q702","69.195"
"http://worldbank.org/Country/FJI","http://www.wikidata.org/entity/Q712","70.269"
"http://worldbank.org/Country/FIN","http://www.wikidata.org/entity/Q33","81.78049"
"http://worldbank.org/Country/TCD","http://www.wikidata.org/entity/Q657","52.903"
"http://worldbank.org/Country/SWZ","http://www.wikidata.org/entity/Q1050","57.754"
"http://worldbank.org/Country/TGO","http://www.wikidata.org/entity/Q945","60.232"
"http://worldbank.org/Country/SYC","http://www.wikidata.org/entity/Q1042","74.30976"
"http://worldbank.org/Country/UZB","http://www.wikidata.org/entity/Q265","71.314"
"http://worldbank.org/Country/VCT","http://www.wikidata.org/entity/Q757","73.179"
"http://worldbank.org/Country/VIR","http://www.wikidata.org/entity/Q11703","79.26829"
"http://worldbank.org/Country/VNM","http://www.wikidata.org/entity/Q881","76.253"
"http://worldbank.org/Country/VUT","http://www.wikidata.org/entity/Q686","72.133"
"http://worldbank.org/Country/WSM","http://www.wikidata.org/entity/Q683","75.013"
"http://worldbank.org/Country/ZWE","http://www.wikidata.org/entity/Q954","61.163"
"http://worldbank.org/Country/ZMB","http://www.wikidata.org/entity/Q953","61.874"
"http://worldbank.org/Country/YEM","http://www.wikidata.org/entity/Q805","64.953"
"http://worldbank.org/Country/UKR","http://www.wikidata.org/entity/Q212","71.47634"
"http://worldbank.org/Country/TZA","http://www.wikidata.org/entity/Q924","65.675"
"http://worldbank.org/Country/USA","http://www.wikidata.org/entity/Q30","78.69024"
